game_id,white,black,white_elo,black_elo,chess_fen,move_made
1,EulerE,jwadlow96,479,459,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,e2e4
1,EulerE,jwadlow96,479,459,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,e7e5
1,EulerE,jwadlow96,479,459,rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,d2d3
1,EulerE,jwadlow96,479,459,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 1 3,g8f6
1,EulerE,jwadlow96,479,459,rnbqkb1r/pppp1ppp/5n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R b KQkq - 2 3,g1f3
1,EulerE,jwadlow96,479,459,rnbqkb1r/ppp2ppp/3p1n2/4p3/4P3/3P1N2/PPP2PPP/RNBQKB1R w KQkq - 0 4,d7d6
1,EulerE,jwadlow96,479,459,rnbqkb1r/ppp2ppp/3p1n2/4p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 1 4,c1g5
1,EulerE,jwadlow96,479,459,rnbqk2r/ppp1bppp/3p1n2/4p1B1/4P3/3P1N2/PPP2PPP/RN1QKB1R w KQkq - 2 5,f8e7
1,EulerE,jwadlow96,479,459,rnbqk2r/ppp1bppp/3p1n2/4p1B1/4P2P/3P1N2/PPP2PP1/RN1QKB1R b KQkq - 0 5,h2h4
1,EulerE,jwadlow96,479,459,rnbqk2r/ppp1bpp1/3p1n1p/4p1B1/4P2P/3P1N2/PPP2PP1/RN1QKB1R w KQkq - 0 6,h7h6
1,EulerE,jwadlow96,479,459,rnbqk2r/ppp1bpp1/3p1n1p/4p3/4P2P/3PBN2/PPP2PP1/RN1QKB1R b KQkq - 1 6,g5e3
1,EulerE,jwadlow96,479,459,rnbqk2r/pp2bpp1/2pp1n1p/4p3/4P2P/3PBN2/PPP2PP1/RN1QKB1R w KQkq - 0 7,c7c6
1,EulerE,jwadlow96,479,459,rnbqk2r/pp2bpp1/2pp1n1p/4p3/4P2P/2NPBN2/PPP2PP1/R2QKB1R b KQkq - 1 7,b1c3
1,EulerE,jwadlow96,479,459,r1bqk2r/pp2bpp1/n1pp1n1p/4p3/4P2P/2NPBN2/PPP2PP1/R2QKB1R w KQkq - 2 8,b8a6
1,EulerE,jwadlow96,479,459,r1bqk2r/pp2bpp1/n1pp1n1p/4p3/3PP2P/2N1BN2/PPP2PP1/R2QKB1R b KQkq - 0 8,d3d4
1,EulerE,jwadlow96,479,459,r2qk2r/pp2bpp1/n1pp1n1p/4p3/3PP1bP/2N1BN2/PPP2PP1/R2QKB1R w KQkq - 1 9,c8g4
1,EulerE,jwadlow96,479,459,r2qk2r/pp2bpp1/B1pp1n1p/4p3/3PP1bP/2N1BN2/PPP2PP1/R2QK2R b KQkq - 0 9,f1a6
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p1pp1n1p/4p3/3PP1bP/2N1BN2/PPP2PP1/R2QK2R w KQkq - 0 10,b7a6
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p1pp1n1p/3Np3/3PP1bP/4BN2/PPP2PP1/R2QK2R b KQkq - 1 10,c3d5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p1n1p/3pp3/3PP1bP/4BN2/PPP2PP1/R2QK2R w KQkq - 0 11,c6d5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p1n1p/3Pp3/3P2bP/4BN2/PPP2PP1/R2QK2R b KQkq - 0 11,e4d5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p3p/3np3/3P2bP/4BN2/PPP2PP1/R2QK2R w KQkq - 0 12,f6d5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p3p/3np1B1/3P2bP/5N2/PPP2PP1/R2QK2R b KQkq - 1 12,e3g5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p4/3np1p1/3P2bP/5N2/PPP2PP1/R2QK2R w KQkq - 0 13,h6g5
1,EulerE,jwadlow96,479,459,r2qk2r/p3bpp1/p2p4/3np1P1/3P2b1/5N2/PPP2PP1/R2QK2R b KQkq - 0 13,h4g5
1,EulerE,jwadlow96,479,459,1r1qk2r/p3bpp1/p2p4/3np1P1/3P2b1/5N2/PPP2PP1/R2QK2R w KQk - 1 14,a8b8
1,EulerE,jwadlow96,479,459,1r1qk2r/p3bpp1/p2p4/3np1P1/3P2b1/5N2/PPP2PP1/RQ2K2R b KQk - 2 14,d1b1
1,EulerE,jwadlow96,479,459,1r1qk3/p3bpp1/p2p3r/3np1P1/3P2b1/5N2/PPP2PP1/RQ2K2R w KQ - 3 15,h8h6
1,EulerE,jwadlow96,479,459,1r1qk3/p3bpp1/p2p3P/3np3/3P2b1/5N2/PPP2PP1/RQ2K2R b KQ - 0 15,g5h6
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p2p3p/3np3/3P2b1/5N2/PPP2PP1/RQ2K2R w KQ - 0 16,g7h6
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p2p3p/3nP3/6b1/5N2/PPP2PP1/RQ2K2R b KQ - 0 16,d4e5
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/3np3/6b1/5N2/PPP2PP1/RQ2K2R w KQ - 0 17,d6e5
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/3nN3/6b1/8/PPP2PP1/RQ2K2R b KQ - 0 17,f3e5
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p4b1p/3nN3/6b1/8/PPP2PP1/RQ2K2R w KQ - 1 18,e7f6
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p4b1p/3n4/6N1/8/PPP2PP1/RQ2K2R b KQ - 0 18,e5g4
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/3n4/6N1/8/PPP2PP1/RQ2K2R w KQ - 1 19,f6e7
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/3n4/2P3N1/8/PP3PP1/RQ2K2R b KQ - 0 19,c2c4
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/8/2P2nN1/8/PP3PP1/RQ2K2R w KQ - 1 20,d5f4
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/8/2P2nN1/8/PP3PP1/R2QK2R b KQ - 2 20,b1d1
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/8/2P3N1/8/PP3Pn1/R2QK2R w KQ - 0 21,f4g2
1,EulerE,jwadlow96,479,459,1r1qk3/p3bp2/p6p/8/2P3N1/8/PP2KPn1/R2Q3R b - - 1 21,e1e2
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p2b3p/8/2P3N1/8/PP2KPn1/R2Q3R w - - 2 22,e7d6
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p2b3p/8/2P3N1/8/PP2KPn1/R2Q2R1 b - - 3 22,h1g1
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p2b3p/8/2P2nN1/8/PP2KP2/R2Q2R1 w - - 4 23,g2f4
1,EulerE,jwadlow96,479,459,1r1qk3/p4p2/p2b3p/8/2P2nN1/5K2/PP3P2/R2Q2R1 b - - 5 23,e2f3
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p2b3p/8/2P2nN1/5K2/PP3P2/R2Q2R1 w - - 6 24,b8c8
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p2b3p/8/2P2nN1/5K2/PP3P2/R1Q3R1 b - - 7 24,d1c1
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p2b4/7p/2P2nN1/5K2/PP3P2/R1Q3R1 w - - 0 25,h6h5
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p2b4/7p/2P2QN1/5K2/PP3P2/R5R1 b - - 0 25,c1f4
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p7/7p/2P2bN1/5K2/PP3P2/R5R1 w - - 0 26,d6f4
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p7/7p/2P2KN1/8/PP3P2/R5R1 b - - 0 26,f3f4
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p7/8/2P2Kp1/8/PP3P2/R5R1 w - - 0 27,h5g4
1,EulerE,jwadlow96,479,459,2rqk3/p4p2/p7/8/2P3K1/8/PP3P2/R5R1 b - - 0 27,f4g4
1,EulerE,jwadlow96,479,459,3qk3/p4p2/p7/8/2r3K1/8/PP3P2/R5R1 w - - 0 28,c8c4
1,EulerE,jwadlow96,479,459,3qk3/p4p2/p7/8/2r5/5K2/PP3P2/R5R1 b - - 1 28,g4f3
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/3q4/2r5/5K2/PP3P2/R5R1 w - - 2 29,d8d5
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/3q4/2r5/8/PP2KP2/R5R1 b - - 3 29,f3e2
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/4q3/2r5/8/PP2KP2/R5R1 w - - 4 30,d5e5
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/4q3/2r5/8/PP1K1P2/R5R1 b - - 5 30,e2d2
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/8/2r2q2/8/PP1K1P2/R5R1 w - - 6 31,e5f4
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/8/2r2q2/3K4/PP3P2/R5R1 b - - 7 31,d2d3
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/8/3r1q2/3K4/PP3P2/R5R1 w - - 8 32,c4d4
1,EulerE,jwadlow96,479,459,4k3/p4p2/p7/8/3r1q2/2K5/PP3P2/R5R1 b - - 9 32,d3c3
1,EulerE,jwadlow96,479,459,4k3/p7/p4p2/8/3r1q2/2K5/PP3P2/R5R1 w - - 0 33,f7f6
1,EulerE,jwadlow96,479,459,4k3/p7/p4p2/8/3r1q2/2K5/PP3P2/R2R4 b - - 1 33,g1d1
1,EulerE,jwadlow96,479,459,4k3/p7/p4p2/8/2r2q2/2K5/PP3P2/R2R4 w - - 2 34,d4c4
1,EulerE,jwadlow96,479,459,4k3/p7/p4p2/8/2r2q2/3K4/PP3P2/R2R4 b - - 3 34,c3d3
1,EulerE,jwadlow96,479,459,8/p3k3/p4p2/8/2r2q2/3K4/PP3P2/R2R4 w - - 4 35,e8e7
1,EulerE,jwadlow96,479,459,8/p3k3/p4p2/8/2r2q2/3K4/PP3P2/R1R5 b - - 5 35,d1c1
1,EulerE,jwadlow96,479,459,8/p3k3/p4p2/8/3r1q2/3K4/PP3P2/R1R5 w - - 6 36,c4d4
1,EulerE,jwadlow96,479,459,8/p3k3/p4p2/8/3r1q2/8/PPK2P2/R1R5 b - - 7 36,d3c2
1,EulerE,jwadlow96,479,459,8/p7/p3kp2/8/3r1q2/8/PPK2P2/R1R5 w - - 8 37,e7e6
1,EulerE,jwadlow96,479,459,8/p7/p3kp2/8/3r1q2/2K5/PP3P2/R1R5 b - - 9 37,c2c3
1,EulerE,jwadlow96,479,459,8/p7/p4p2/4k3/3r1q2/2K5/PP3P2/R1R5 w - - 10 38,e6e5
1,EulerE,jwadlow96,479,459,8/p7/p4p2/4k3/3r1q2/2K5/PP3P2/R2R4 b - - 11 38,c1d1
1,EulerE,jwadlow96,479,459,8/p7/p4p2/4k3/2r2q2/2K5/PP3P2/R2R4 w - - 12 39,d4c4
1,EulerE,jwadlow96,479,459,8/p7/p4p2/4k3/2r2q2/1K6/PP3P2/R2R4 b - - 13 39,c3b3
1,EulerE,jwadlow96,479,459,8/p7/5p2/p3k3/2r2q2/1K6/PP3P2/R2R4 w - - 0 40,a6a5
1,EulerE,jwadlow96,479,459,8/p7/5p2/p3k3/2r2q2/1K6/PP3P2/R3R3 b - - 1 40,d1e1
1,EulerE,jwadlow96,479,459,8/p7/5p2/p7/2rk1q2/1K6/PP3P2/R3R3 w - - 2 41,e5d4
1,EulerE,jwadlow96,479,459,8/p7/5p2/p7/2rk1q2/1K6/PP3P2/3RR3 b - - 3 41,a1d1
1,EulerE,jwadlow96,479,459,8/p7/5p2/p1k5/2r2q2/1K6/PP3P2/3RR3 w - - 4 42,d4c5
1,EulerE,jwadlow96,479,459,8/p7/5p2/p1k5/2r2q2/1K6/PP3P2/2R1R3 b - - 5 42,d1c1
1,EulerE,jwadlow96,479,459,8/p7/5p2/2k5/p1r2q2/1K6/PP3P2/2R1R3 w - - 0 43,a5a4
1,EulerE,jwadlow96,479,459,8/p7/5p2/2k5/p1r2q2/K7/PP3P2/2R1R3 b - - 1 43,b3a3
1,EulerE,jwadlow96,479,459,8/p7/5p2/1k6/p1r2q2/K7/PP3P2/2R1R3 w - - 2 44,c5b5
1,EulerE,jwadlow96,479,459,8/p7/5p2/1k6/p1r2q2/KP6/P4P2/2R1R3 b - - 0 44,b2b3
